,SOLI,SAP_CUS,TASK_PRIOR,Latitude
184,017163292010,0000000306,718,
185,017172989010,0000000306,718,
186,017156214010,0000000306,778,
187,017173117010,0000000306,768,
188,017152436010,0000000306,718,
189,017147027010,0000000361,739,
190,017148641010,0000000306,738,
191,017152435010,0000000306,718,
192,017173095010,0000000306,698,
193,017159793010,0000000306,748,
194,017156209010,0000000306,718,
195,017158471010,0000000306,748,
196,017158533010,0000000306,778,
197,017223511010,0000000306,778,
198,017156142010,0000000306,778,
199,017212884010,0000000306,698,
200,017171884010,0000000306,758,
201,017173139010,0000000306,718,
202,017156227010,0000000306,788,
203,017173075010,0000000306,718,
204,017159849010,0000000306,748,
205,017156146010,0000000306,718,
206,017163289010,0000000306,718,
207,017158468010,0000000306,738,
208,017156138010,0000000306,758,
209,017158566010,0000000306,778,
210,017156119010,0000000306,778,
211,017171918010,0000000306,738,
212,017152446010,0000000306,708,
213,017152586010,0000000306,718,
214,017156156010,0000000306,768,
215,017155874010,0000000306,768,
216,017171940010,0000000306,778,
217,017163298010,0000000306,708,
218,017156210010,0000000306,788,
219,017156221010,0000000306,698,
220,017158469010,0000000306,738,
221,017156136010,0000000306,778,
222,017171914010,0000000306,778,
223,017159833010,0000000306,738,
224,017165646010,0000000306,778,
225,017165550010,0000000306,788,
226,017159853010,0000000306,778,
227,017152603010,0000000306,698,
228,017159900010,0000000306,768,
229,017152465010,0000000306,708,
230,015838411050,0000060569,754,
231,017156231010,0000000306,748,
232,017156132010,0000000306,768,
233,017171843010,0000000306,738,
234,017171889010,0000000306,718,
235,017171970010,0000000306,698,
236,017159175010,0000000306,698,
237,017155875010,0000000306,778,
238,017155881010,0000000306,778,
239,015398561030,0000000361,739,
240,017159176010,0000000306,698,
241,017156201010,0000000306,738,
242,017156235010,0000000306,718,
243,017080609010,0000000306,768,
244,017152464010,0000000306,718,
245,017155883010,0000000306,738,
246,017156116010,0000000306,738,
247,015666304100,0000055772,724,
248,017156211010,0000000306,788,
249,017152482010,0000000306,718,
250,017173123010,0000000306,778,
251,017156204010,0000000306,738,
252,017159116010,0000000306,718,
253,017156467010,0000000361,739,
254,017156159010,0000000306,788,
255,017156158010,0000000306,768,
256,017156144010,0000000306,768,
257,017171938010,0000000306,708,
258,017152614010,0000000306,698,
259,015552376020,0000000366,735,
260,017149585010,0000000361,739,
261,017156261010,0000000306,778,
262,017159821010,0000000306,748,
263,017172952010,0000000306,788,
264,017172938010,0000000306,788,
265,017149601010,0000000361,739,
266,017148564010,0000000306,738,
267,017152582010,0000000306,738,
268,017156196010,0000000306,788,
269,017156199010,0000000306,788,
270,017159846010,0000000306,758,
271,017152592010,0000000306,708,
272,017156130010,0000000306,778,
273,017152604010,0000000306,718,
274,017148653010,0000000306,708,
275,017172990010,0000000306,698,
276,017159794010,0000000306,738,
277,017148647010,0000000306,718,
278,017152451010,0000000306,738,
279,017152585010,0000000306,718,
280,017152594010,0000000306,718,
281,017156154010,0000000306,788,
282,017152445010,0000000306,718,
283,015552285050,0000000366,735,
284,017148642010,0000000306,738,
285,017152439010,0000000306,718,
286,017156245010,0000000306,738,
287,017206859010,0000000306,768,
288,017155876010,0000000306,778,
289,017173030010,0000000306,788,
290,017148651010,0000000306,718,
291,017152450010,0000000306,718,
292,017156150010,0000000306,768,
293,017173099010,0000000306,778,
294,017173097010,0000000306,698,
295,017148452010,0000000306,708,
296,015603907300,0000060603,764,
297,015603907270,0000060603,764,
298,015603907210,0000060603,764,
299,017147212010,0000000361,739,
300,017156258010,0000000306,778,
301,017156193010,0000000306,778,
302,017148556010,0000000306,718,
303,017156234010,0000000306,758,
304,015603907410,0000060603,764,
305,017148477010,0000000306,718,
306,017152441010,0000000306,738,
307,017148529010,0000000306,708,
308,017148652010,0000000306,718,
309,017158472010,0000000306,748,
310,015603907230,0000060603,764,
311,017156125010,0000000306,778,
312,017156133010,0000000306,778,
313,017156219010,0000000306,698,
314,017159199010,0000000306,708,
315,017080663010,0000000306,778,
316,017173092010,0000000306,758,
317,017156118010,0000000306,778,
318,015398561020,0000000361,739,
319,017152459010,0000000306,738,
320,015552591040,0000000366,735,
321,015603907290,0000060603,764,
322,015603907240,0000060603,764,
323,015552376050,0000000366,735,
324,017152438010,0000000306,718,
325,017156075010,0000000306,768,
326,017156117010,0000000306,768,
327,017149457010,0000000361,739,
328,017148472010,0000000306,708,
329,017159863010,0000000306,758,
330,017158531010,0000000306,738,
331,017156145010,0000000306,718,
332,017156147010,0000000306,788,
333,015603907280,0000060603,764,
334,015603907370,0000060603,764,
335,015603907200,0000060603,764,
336,015603907310,0000060603,764,
337,017080614010,0000000306,768,
338,017148646010,0000000306,738,
339,017152455010,0000000306,718,
340,015552344030,0000000366,735,
341,017152467010,0000000306,708,
342,017156238010,0000000306,788,
343,017156152010,0000000306,778,
344,017152470010,0000000306,708,
345,017154486010,0000000361,739,
346,017156126010,0000000306,778,
347,017148590010,0000000306,708,
348,017152587010,0000000306,738,
349,017148510010,0000000306,718,
350,015552590050,0000000366,735,
351,017156244010,0000000306,778,
352,015879692010,0000058480,704,
353,017171851010,0000000306,708,
354,017173131010,0000000306,718,
355,015398755010,0000000361,739,
356,017148648010,0000000306,738,
357,017152458010,0000000306,738,
358,015666304090,0000055772,724,
359,017172957010,0000000306,778,
360,017158528010,0000000306,788,
361,017156257010,0000000306,788,
362,017158559010,0000000306,788,
363,015552359050,0000000366,735,
364,017165656010,0000000306,778,
365,017159119010,0000000306,738,
366,015552623030,0000000366,735,
367,017156615010,0000000361,739,
368,017173046010,0000000306,738,
369,017173037010,0000000306,788,
370,015603907380,0000060603,764,
371,017148644010,0000000306,708,
372,017159872010,0000000306,778,
373,015552312010,0000000366,735,
374,017159867010,0000000306,738,
375,015552284030,0000000366,735,
376,015552283040,0000000366,735,
377,017156602010,0000000361,739,
378,017156928010,0000000361,739,
379,017156197010,0000000306,788,
380,017156200010,0000000306,778,
381,017173105010,0000000306,718,
382,017159796010,0000000306,738,
383,015552268030,0000000366,735,
384,017173098010,0000000306,718,
385,015666304110,0000055772,724,
386,017156589010,0000000361,739,
387,017223513010,0000000306,768,
388,017156260010,0000000306,788,
389,017171845010,0000000306,738,
390,017163290010,0000000306,718,
391,017156610010,0000000361,739,
392,017159830010,0000000306,748,
393,017159808010,0000000306,758,
394,017165568010,0000000306,788,
395,015603907360,0000060603,764,
396,017148650010,0000000306,718,
397,015603907220,0000060603,764,
398,015603907250,0000060603,764,
399,017165604010,0000000306,788,
400,017163277010,0000000306,708,
401,017158495010,0000000306,738,
402,017173061010,0000000306,748,
403,017156226010,0000000306,778,
404,017165649010,0000000306,768,
405,017158501010,0000000306,738,
406,017156253010,0000000306,788,
407,017158522010,0000000306,758,
408,017152483010,0000000306,738,
409,017171996010,0000000306,718,
410,017152462010,0000000306,738,
411,017152481010,0000000306,718,
412,017172940010,0000000306,718,
413,017156251010,0000000306,778,
414,017159826010,0000000306,768,
415,017165592010,0000000306,788,
416,017165595010,0000000306,788,
417,017148464010,0000000306,698,
418,017159792010,0000000306,738,
419,017152490010,0000000306,738,
420,017172991010,0000000306,718,
421,017156243010,0000000306,788,
422,017152474010,0000000306,718,
423,017152469010,0000000306,718,
424,017152492010,0000000306,738,
425,017158459010,0000000306,738,
426,017171977010,0000000306,718,
427,017156074010,0000000306,788,
428,017156072010,0000000306,788,
429,017156073010,0000000306,778,
430,017173135010,0000000306,708,
431,017156120010,0000000306,778,
432,017156121010,0000000306,778,
433,017156127010,0000000306,778,
434,017159842010,0000000306,738,
435,017171972010,0000000306,778,
436,017158470010,0000000306,738,
437,017148490010,0000000306,708,
438,017163293010,0000000306,708,
439,017158526010,0000000306,788,
440,017158519010,0000000306,738,
441,015677659020,0000000366,735,
442,017171988010,0000000306,788,
443,017165507010,0000000306,778,
444,017171830010,0000000306,708,
445,017171872010,0000000306,778,
446,017080643010,0000000306,758,
447,017156143010,0000000306,788,
448,017171982010,0000000306,698,
449,015552571020,0000000366,735,
450,017165573010,0000000306,748,
451,015603907110,0000060603,764,
452,015603907260,0000060603,764,
453,017171846010,0000000306,738,
454,017159118010,0000000306,708,
455,017191521010,0000000306,788,
456,015552243040,0000000366,735,
457,017163267010,0000000306,718,
458,017152478010,0000000306,718,
459,015552351010,0000000366,735,
460,015552357020,0000000366,735,
461,017152487010,0000000306,718,
462,015603907190,0000060603,764,
463,015603907390,0000060603,764,
464,017171892010,0000000306,778,
465,017158562010,0000000306,738,
466,017171873010,0000000306,778,
467,017171877010,0000000306,758,
468,015552290040,0000000366,735,
469,017152616010,0000000306,698,
470,017171910010,0000000306,788,
471,017165651010,0000000306,788,
472,017165641010,0000000306,788,
473,017173074010,0000000306,698,
474,015552387040,0000000366,735,
475,017171887010,0000000306,708,
476,015552628010,0000000366,735,
477,017158568010,0000000306,778,
478,017156113010,0000000306,788,
479,017156252010,0000000306,788,
480,017158535010,0000000306,788,
481,017155884010,0000000306,708,
482,017159845010,0000000306,738,
483,015552362040,0000000366,735,
484,017173133010,0000000306,708,
485,017171866010,0000000306,778,
486,017152454010,0000000306,718,
487,017156230010,0000000306,738,
488,017171836010,0000000306,718,
489,017165491010,0000000306,718,
490,015568550020,0000000366,735,
491,017165643010,0000000306,788,
492,017165597010,0000000306,778,
493,017165645010,0000000306,768,
494,017080657010,0000000306,758,
495,015649973020,0000000366,735,
496,015603907160,0000060603,764,
497,015649924050,0000000366,735,
498,017171837010,0000000306,698,
499,017173106010,0000000306,718,
500,017173111010,0000000306,708,
501,017171664010,0000000306,788,
502,017165564010,0000000306,778,
503,017165566010,0000000306,788,
504,017156137010,0000000306,758,
505,017165575010,0000000306,768,
506,017158464010,0000000306,778,
507,017165563010,0000000306,748,
508,017165490010,0000000306,788,
509,017148541010,0000000306,718,
510,017152600010,0000000306,718,
511,017163274010,0000000306,718,
512,017163273010,0000000306,718,
513,017173084010,0000000306,708,
514,015603907350,0000060603,764,
515,015603907420,0000060603,764,
516,015603907430,0000060603,764,
517,017156208010,0000000306,778,
518,017159174010,0000000306,698,
519,017152601010,0000000306,698,
520,017156195010,0000000306,708,
521,017163266010,0000000306,718,
522,017172946010,0000000306,778,
523,017173039010,0000000306,698,
524,017152491010,0000000306,708,
525,017173049010,0000000306,788,
526,017156469010,0000000361,739,
527,017156256010,0000000306,778,
528,017148547010,0000000306,718,
