0.978577,17.97,76
0.001002,5.8,88
0.008762,81.9,12
0.835605,27.78,66
0.455885,76.92,17
0.484065,20,74
0.002596,81.9,12
0.971177,17.13,77
0.000863,81.9,12
0.752532,4.8,89
0.99817,8.32,86
0.332356,10.02,84
0.340248,17.97,76
1,12.44,82
0.003261,12,82
1,25.57,68
0.299022,10.5,84
0.860271,21.7,72
0.876363,24.04,70
0.829525,81.9,12
0.004938,8.31,86
0.626012,5.8,88
0.000441,9.5,85
0.016062,5.8,88
0.721282,21.7,72
0.004282,20,74
0.46863,14,80
0.957534,81.9,12
0.163114,6.38,88
1,81.9,12
0.392602,20.62,73
0.79629,27.5,67
0.62903,12,82
0.651725,21.51,72
1,7.01,87
0.030448,5.8,88
1,8.31,86
0.0176,27.5,67
0.002569,5.8,88
0.001494,5.8,88
0.516442,17.05,77
0.003197,4.79,89
0.71151,81.9,12
0.403649,81.9,12
1,12,82
0.004953,23.36,71
0.876052,50,44
0.468367,82.73,11
0.003198,81.9,12
0.757957,5.8,88
0.442854,81.9,12
1,20.62,73
0.004893,17.05,77
0.270475,16.3,78
0.665189,7.06,87
0.165953,4.79,89
1,20,74
0.321686,81.9,12
0.383649,19.25,75
1,20.65,73
1,21.7,72
0.078024,21.51,72
0.999623,12,82
0.146567,81.9,12
0.982317,25.57,68
0.00366,17.25,77
0.884909,17.27,77
1,27.2,67
0.991668,5.8,88
0.003602,20,74
0.168007,5.8,88
0.72891,7.24,87
0.037743,9.5,85
0.2514,23.8,70
0.749859,21.05,73
0.001629,47.6,46
1,12,82
0.999956,27.2,67
1,20.33,74
1,8.09,86
0.003932,5.95,88
0.002839,4.79,89
1,81.9,12
1,5.8,88
1,2.87,91
1,4.8,89
0.879703,20.65,73
0.540955,9.56,84
0.11804,25.57,68
0.230608,12,82
0.834668,6.2,88
0.001831,81.9,12
0.999324,4.79,89
0.11645,36.75,57
0.01864,6.16,88
0.314383,10.24,84
0.976962,17.05,77
0.761675,12.44,82
1,36.75,57
0.809591,4.77,89
0.653961,81.9,12
1,6.38,88
1,5.8,88
0.794751,17.88,76
0.478755,17.27,77
0.599896,27.5,67
0.352521,5.8,88
0.991574,5.8,88
0.766358,19.25,75
0.001508,25.57,68
0.436182,5.8,88
1,16.3,78
0.993168,7.25,87
0.001602,19.25,75
1,7.03,87
0.147197,21.7,72
0.187973,12,82
0.477291,38.18,56
0.003272,6.16,88
0.951109,7.05,87
0.00204,12,82
1,5.8,88
0.616603,25.57,68
0.004716,82.73,11
0.002268,74.67,19
1,82.73,11
0.298423,20,74
0.982952,28.88,65
0.986141,20.33,74
0.698809,7.01,87
0.43465,7.05,87
1,4.79,89
0.937734,16.3,78
0.007232,9.5,85
0.40112,9.75,84
0.002873,81.9,12
0.005522,11.52,82
0.998182,27.43,67
1,4.8,89
0.983838,6.07,88
0.792726,81.9,12
0.455323,20,74
0.473241,12,82
1,5.8,88
1,5.8,88
0.862495,5.8,88
0.962103,12,82
0.004382,7.25,87
0.008759,5.8,88
0.885179,1,93
0.714524,20.65,73
0.990792,36.75,57
0.831223,12,82
0.906967,4.8,89
0.026109,7.06,87
0.491674,14.21,80
0.001161,19.25,75
0.627352,6.16,88
0.95666,16.3,78
0.012592,21.7,72
0.299559,47.6,46
